frame_utama_clean,topic_label_selected,count,share
agama_budaya,Dukungan Gizi dan Nasionalisme,10,0.2777777777777778
agama_budaya,Kritik Anggaran dan Implementasi,19,0.5277777777777778
agama_budaya,Operasional dan Implementasi MBG,7,0.19444444444444445
anggaran_fiskal,Dukungan Gizi dan Nasionalisme,26,0.01596071209330878
anggaran_fiskal,Kritik Anggaran dan Implementasi,1521,0.9337016574585635
anggaran_fiskal,Operasional dan Implementasi MBG,82,0.05033763044812769
buzzer_hype,Dukungan Gizi dan Nasionalisme,2,0.02
buzzer_hype,Kritik Anggaran dan Implementasi,87,0.87
buzzer_hype,Operasional dan Implementasi MBG,11,0.11
dukungan_umum,Dukungan Gizi dan Nasionalisme,808,0.7246636771300449
dukungan_umum,Kritik Anggaran dan Implementasi,262,0.23497757847533632
dukungan_umum,Operasional dan Implementasi MBG,45,0.04035874439461883
ekonomi,Dukungan Gizi dan Nasionalisme,453,0.27825552825552824
ekonomi,Kritik Anggaran dan Implementasi,990,0.6081081081081081
ekonomi,Operasional dan Implementasi MBG,185,0.11363636363636363
gizi_kesehatan,Dukungan Gizi dan Nasionalisme,1270,0.39774506733479487
gizi_kesehatan,Kritik Anggaran dan Implementasi,1445,0.45255245850297526
gizi_kesehatan,Operasional dan Implementasi MBG,478,0.14970247416222987
keamanan_pangan,Dukungan Gizi dan Nasionalisme,20,0.021164021164021163
keamanan_pangan,Kritik Anggaran dan Implementasi,796,0.8423280423280424
keamanan_pangan,Operasional dan Implementasi MBG,129,0.1365079365079365
kebijakan_implementasi,Dukungan Gizi dan Nasionalisme,107,0.11771177117711772
kebijakan_implementasi,Kritik Anggaran dan Implementasi,559,0.6149614961496149
kebijakan_implementasi,Operasional dan Implementasi MBG,243,0.26732673267326734
political_skeptis,Dukungan Gizi dan Nasionalisme,179,0.19456521739130433
political_skeptis,Kritik Anggaran dan Implementasi,614,0.6673913043478261
political_skeptis,Operasional dan Implementasi MBG,127,0.13804347826086957
resistensi_regional,Dukungan Gizi dan Nasionalisme,51,0.5257731958762887
resistensi_regional,Kritik Anggaran dan Implementasi,38,0.3917525773195876
resistensi_regional,Operasional dan Implementasi MBG,8,0.08247422680412371
sosial_pemerataan,Dukungan Gizi dan Nasionalisme,25,0.15822784810126583
sosial_pemerataan,Kritik Anggaran dan Implementasi,102,0.6455696202531646
sosial_pemerataan,Operasional dan Implementasi MBG,31,0.1962025316455696
tidak_terklasifikasi,Dukungan Gizi dan Nasionalisme,298,0.07446276861569215
tidak_terklasifikasi,Kritik Anggaran dan Implementasi,3281,0.81984007996002
tidak_terklasifikasi,Operasional dan Implementasi MBG,423,0.10569715142428786
