num_topics,passes,coherence,perplexity
2,8,0.5729892793123676,-6.977824414604652
3,8,0.5783972564175306,-6.97887725362264
4,8,0.5676410951794476,-7.030079850033997
5,8,0.5650987852567684,-7.067528264043407
6,8,0.5102493913167098,-7.102823563146167
7,8,0.5699960407132397,-7.1189360103674355
8,8,0.5557087998918763,-7.153060639195196
9,8,0.47913417710306433,-7.152736703070627
10,8,0.47740706735178096,-7.170525216734893
11,8,0.5162870755479164,-7.231906668332512
12,8,0.5052955819297139,-7.366938802869543
